# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ncdm[0]        13:(.)p_ncdm[0]          14:(.)rho_ncdm[1]        15:(.)p_ncdm[1]          16:(.)rho_ncdm[2]        17:(.)p_ncdm[2]          18:(.)rho_lambda         19:(.)rho_ur             20:(.)rho_crit           21:(.)rho_tot            22:(.)p_tot              23:(.)p_tot_prime        24:gr.fac. D             25:gr.fac. f          
       9.326212236469e+13       7.319871743183e-26       4.185494617559e-09       2.227883144214e+22       1.389086530606e+04       1.489443404659e-10       1.295491579925e+18       2.416864259345e-09       2.081614238068e+44       1.988512843847e+33       1.086497713064e+34       4.806176986820e+43       1.602058995607e+43       4.806176986820e+43       1.602058995607e+43       4.806176986820e+43       1.602058995607e+43       3.421715905403e-08       1.439995970030e+44       4.963463304272e+44       4.963463304272e+44       1.654487768048e+44      -1.580922808652e+53       1.212345018239e-06       1.433565615564e+01 
       9.261382558559e+13       7.422708621303e-26       4.214598448016e-09       2.197017248884e+22       1.389086530606e+04       1.499869508492e-10       1.286486176688e+18       2.433782309161e-09       2.024334923495e+44       1.947331947224e+33       1.063997003481e+34       4.673926486949e+43       1.557975495650e+43       4.673926486949e+43       1.557975495650e+43       4.673926486949e+43       1.557975495650e+43       3.421715905403e-08       1.400371922191e+44       4.826884791896e+44       4.826884791896e+44       1.608961597257e+44      -1.526733772032e+53       1.333579520062e-06       1.303241468695e+01 
       9.197003533823e+13       7.526990254723e-26       4.245521267876e-09       2.166578980784e+22       1.389086530606e+04       1.510368595051e-10       1.277543373077e+18       2.450818785325e-09       1.968631751041e+44       1.907003882029e+33       1.041962269965e+34       4.545315094577e+43       1.515105031526e+43       4.545315094577e+43       1.515105031526e+43       4.545315094577e+43       1.515105031526e+43       3.421715905403e-08       1.361838200436e+44       4.694064479973e+44       4.694064479973e+44       1.564688159950e+44      -1.474402164297e+53       1.454814021886e-06       1.194638012970e+01 
       9.133072029615e+13       7.632736940812e-26       4.274625098333e-09       2.136562415410e+22       1.389086530606e+04       1.520941175217e-10       1.268662733939e+18       2.467974516822e-09       1.914461350357e+44       1.867510986638e+33       1.020383862434e+34       4.420242673196e+43       1.473414224399e+43       4.420242673196e+43       1.473414224399e+43       4.420242673196e+43       1.473414224399e+43       3.421715905403e-08       1.324364802505e+44       4.564898954942e+44       4.564898954942e+44       1.521632984940e+44      -1.423864318656e+53       1.576048523710e-06       1.102742781203e+01 
       9.069584935070e+13       7.739969262093e-26       4.303728928789e-09       2.106961710341e+22       1.389086530606e+04       1.531587763443e-10       1.259843827149e+18       2.485250338440e-09       1.861781544502e+44       1.828835965191e+33       9.992523306543e+33       4.298611841730e+43       1.432870613910e+43       4.298611841730e+43       1.432870613910e+43       4.298611841730e+43       1.432870613910e+43       3.421715905403e-08       1.287922551705e+44       4.439287648845e+44       4.439287648845e+44       1.479762549575e+44      -1.375058750615e+53       1.697283025534e-06       1.023975439689e+01 
       9.006539160943e+13       7.848708090256e-26       4.334651748650e-09       2.077771104100e+22       1.389086530606e+04       1.542308877787e-10       1.251086223584e+18       2.502647090809e-09       1.810551317112e+44       1.790961880015e+33       9.785584200989e+33       4.180327898716e+43       1.393442632905e+43       4.180327898716e+43       1.393442632905e+43       4.180327898716e+43       1.393442632905e+43       3.421715905403e-08       1.252483074190e+44       4.317132761033e+44       4.317132761033e+44       1.439044253639e+44      -1.327926083172e+53       1.818517527358e-06       9.557104103759e+00 
       8.943931639467e+13       7.958974590216e-26       4.365574568510e-09       2.048984915029e+22       1.389086530606e+04       1.553105039932e-10       1.242389497104e+18       2.520165620444e-09       1.760730780460e+44       1.753872144203e+33       9.582930678975e+33       4.065298748574e+43       1.355099582858e+43       4.065298748574e+43       1.355099582858e+43       4.065298748574e+43       1.355099582858e+43       3.421715905403e-08       1.218018776871e+44       4.198339182016e+44       4.198339182016e+44       1.399446393968e+44      -1.282408974585e+53       1.939752029181e-06       8.959785097274e+00 
       8.881759324197e+13       8.070790224234e-26       4.396497388370e-09       2.020597540187e+22       1.389086530606e+04       1.563976775211e-10       1.233753224533e+18       2.537806779787e-09       1.712281144399e+44       1.717550514356e+33       9.384473988662e+33       3.953434829892e+43       1.317811609964e+43       3.953434829892e+43       1.317811609964e+43       3.953434829892e+43       1.317811609964e+43       3.421715905403e-08       1.184502825932e+44       4.082814419410e+44       4.082814419410e+44       1.360938139766e+44      -1.238452048601e+53       2.060986531005e-06       8.432738915081e+00 
       8.820019189868e+13       8.184176756094e-26       4.425601218827e-09       1.992603454258e+22       1.389086530606e+04       1.574924612638e-10       1.225176985633e+18       2.555571427246e-09       1.665164686165e+44       1.681981083465e+33       9.190127216208e+33       3.844649045703e+43       1.281549681901e+43       3.844649045703e+43       1.281549681901e+43       3.844649045703e+43       1.281549681901e+43       3.421715905403e-08       1.151909125938e+44       3.970468525923e+44       3.970468525923e+44       1.323489508605e+44      -1.196001827093e+53       2.182221032829e-06       7.964253419799e+00 
       8.758708232243e+13       8.299156255340e-26       4.456524038687e-09       1.964997208477e+22       1.389086530606e+04       1.585949084926e-10       1.216660363092e+18       2.573460427236e-09       1.619344721000e+44       1.647148273944e+33       8.999805247701e+33       3.738856695668e+43       1.246285565223e+43       3.738856695668e+43       1.246285565223e+43       3.738856695668e+43       1.246285565223e+43       3.421715905403e-08       1.120212299515e+44       3.861214029321e+44       3.861214029321e+44       1.287071343072e+44      -1.155006664995e+53       2.303455534653e-06       7.545082187178e+00 
