# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ncdm[0]        13:(.)p_ncdm[0]          14:(.)rho_ncdm[1]        15:(.)p_ncdm[1]          16:(.)rho_ncdm[2]        17:(.)p_ncdm[2]          18:(.)rho_lambda         19:(.)rho_ur             20:(.)rho_crit           21:(.)rho_tot            22:(.)p_tot              23:(.)p_tot_prime        24:gr.fac. D             25:gr.fac. f          
       8.111774765760e+13       1.148691598891e-25       5.713445716538e-09       1.419686440662e+22       1.406357407903e+04       1.733723443406e-10       1.140805453307e+18       3.298851922856e-09       1.191358877859e+44       1.320812064632e+33       6.918822191078e+33       2.741387939177e+43       9.137959797257e+42       2.741387939177e+43       9.137959797257e+42       2.741387939177e+43       9.137959797257e+42       3.514163029955e-08       1.734330105567e+41       2.015509589800e+44       2.015509589800e+44       6.718365299057e+43      -4.703272659268e+52       2.725981735724e-06       4.778552051877e+00 
       8.055387056366e+13       1.164829567164e-25       5.753463483416e-09       1.400017593491e+22       1.406357407903e+04       1.745859507510e-10       1.132875326024e+18       3.321943886316e-09       1.158576521413e+44       1.293458846743e+33       6.775537573991e+33       2.665953778868e+43       8.886512596227e+42       2.665953778868e+43       8.886512596227e+42       2.665953778868e+43       8.886512596227e+42       3.514163029955e-08       1.686606930987e+41       1.960049262085e+44       1.960049262085e+44       6.533497540015e+43      -4.542059339445e+52       2.816847793581e-06       4.624405211493e+00 
       7.999391317146e+13       1.181194257753e-25       5.793481250294e-09       1.380621245612e+22       1.406357407903e+04       1.758080524062e-10       1.125000323758e+18       3.345197493520e-09       1.126696229756e+44       1.266672097430e+33       6.635220294542e+33       2.592595323519e+43       8.641984411730e+42       2.592595323519e+43       8.641984411730e+42       2.592595323519e+43       8.641984411730e+42       3.514163029955e-08       1.640196944355e+41       1.906115023835e+44       1.906115023835e+44       6.353716745853e+43      -4.386371902633e+52       2.907713851439e-06       4.479892548634e+00 
       7.943784823382e+13       1.197788855880e-25       5.835318006575e-09       1.361493621721e+22       1.406357407903e+04       1.770387087731e-10       1.117180063315e+18       3.368613875974e-09       1.095693180972e+44       1.240440085472e+33       6.497808900965e+33       2.521255456419e+43       8.404184854730e+42       2.521255456419e+43       8.404184854730e+42       2.521255456419e+43       8.404184854730e+42       3.514163029955e-08       1.595064010971e+41       1.853664881986e+44       1.853664881986e+44       6.178882939694e+43      -4.236020939031e+52       2.998579909296e-06       4.344138228979e+00 
       7.888564869297e+13       1.214616591516e-25       5.875335773453e-09       1.342630998818e+22       1.406357407903e+04       1.782779797345e-10       1.109414164166e+18       3.392194173106e-09       1.065543236164e+44       1.214751322593e+33       6.363243214124e+33       2.451878632526e+43       8.172928775086e+42       2.451878632526e+43       8.172928775086e+42       2.451878632526e+43       8.172928775086e+42       3.514163029955e-08       1.551172990446e+41       1.802657998988e+44       1.802657998988e+44       6.008859996374e+43      -4.090823531205e+52       3.089445967153e-06       4.216369457538e+00 
       7.833728767921e+13       1.231680740011e-25       5.917172529735e-09       1.324029705486e+22       1.406357407903e+04       1.795259255926e-10       1.101702248427e+18       3.415939532318e-09       1.036222920661e+44       1.189594558435e+33       6.231464301155e+33       2.384410835217e+43       7.948036117392e+42       2.384410835217e+43       7.948036117392e+42       2.384410835217e+43       7.948036117392e+42       3.514163029955e-08       1.508489709340e+41       1.753054661010e+44       1.753054661010e+44       5.843515536452e+43      -3.950603031554e+52       3.180312025011e-06       4.095901758751e+00 
       7.779273850965e+13       1.248984622727e-25       5.957190296613e-09       1.305686121170e+22       1.406357407903e+04       1.807826070718e-10       1.094043940841e+18       3.439851109044e-09       1.007709405738e+44       1.164958775626e+33       6.102414449660e+33       2.318799534235e+43       7.729331780785e+42       2.318799534235e+43       7.729331780785e+42       2.318799534235e+43       7.729331780785e+42       3.514163029955e-08       1.466980934558e+41       1.704816247016e+44       1.704816247016e+44       5.682720823144e+43      -3.815188847398e+52       3.271178082868e-06       3.982126709897e+00 
       7.725197468684e+13       1.266531607691e-25       5.999027052894e-09       1.287596675476e+22       1.406357407903e+04       1.820480853213e-10       1.086438868759e+18       3.463930066807e-09       9.799804908440e+43       1.140833184958e+33       5.976037142428e+33       2.254993644784e+43       7.516645482615e+42       2.254993644784e+43       7.516645482615e+42       2.254993644784e+43       7.516645482615e+42       3.514163029955e-08       1.426614347470e+41       1.657905198698e+44       1.657905198698e+44       5.526350662089e+43      -3.684416233433e+52       3.362044140725e-06       3.874501663684e+00 
       7.671496989756e+13       1.284325110248e-25       6.040863809176e-09       1.269757847477e+22       1.406357407903e+04       1.833224219185e-10       1.078886662125e+18       3.488177577274e-09       9.530145863146e+43       1.117207220661e+33       5.852277032687e+33       2.192943487758e+43       7.309811625860e+42       2.192943487758e+43       7.309811625860e+42       2.192943487758e+43       7.309811625860e+42       3.514163029955e-08       1.387358518753e+41       1.612284991230e+44       1.612284991230e+44       5.374283303869e+43      -3.558126091305e+52       3.452910198583e-06       3.772541093587e+00 
       7.618169801148e+13       1.302368593722e-25       6.084519554861e-09       1.252166165025e+22       1.406357407903e+04       1.846056788719e-10       1.071386953450e+18       3.512594820315e-09       9.267906965640e+43       1.094070535774e+33       5.731079919861e+33       2.132600751059e+43       7.108669170197e+42       2.132600751059e+43       7.108669170197e+42       2.132600751059e+43       7.108669170197e+42       3.514163029955e-08       1.349182883918e+41       1.567920104834e+44       1.567920104834e+44       5.226400349219e+43      -3.436164776050e+52       3.543776256440e-06       3.675809270674e+00 
