# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ncdm[0]        13:(.)p_ncdm[0]          14:(.)rho_ncdm[1]        15:(.)p_ncdm[1]          16:(.)rho_ncdm[2]        17:(.)p_ncdm[2]          18:(.)rho_lambda         19:(.)rho_ur             20:(.)rho_crit           21:(.)rho_tot            22:(.)p_tot              23:(.)p_tot_prime        24:gr.fac. D             25:gr.fac. f          
       9.326212236469e+13       7.323473174726e-26       4.187313606963e-09       2.226787548117e+22       1.379901141108e+04       1.479594401371e-10       1.286925090732e+18       2.418053374604e-09       2.081614238068e+44       2.007286022475e+33       1.103646289695e+34       4.789892829068e+43       1.596630943023e+43       4.789892829068e+43       1.596630943023e+43       4.789892829068e+43       1.596630943023e+43       3.449631827055e-08       1.440000697528e+44       4.958582784447e+44       4.958582784447e+44       1.652860928105e+44      -1.578591625475e+53       1.192695026486e-06       1.433565615564e+01 
       9.261382558559e+13       7.426360649357e-26       4.218236426823e-09       2.195936831570e+22       1.379901141108e+04       1.489951562180e-10       1.277979236079e+18       2.434979748226e-09       2.024334923495e+44       1.965716344693e+33       1.080790443476e+34       4.658090416733e+43       1.552696805578e+43       4.658090416733e+43       1.552696805578e+43       4.658090416733e+43       1.552696805578e+43       3.449631827055e-08       1.400376519603e+44       4.822138568246e+44       4.822138568246e+44       1.607379522706e+44      -1.524482494445e+53       1.311964529135e-06       1.303241468695e+01 
       9.197003533823e+13       7.530693590120e-26       4.247340257280e-09       2.165513531960e+22       1.379901141108e+04       1.500381223116e-10       1.269095567109e+18       2.452024606463e-09       1.968631751041e+44       1.925007549760e+33       1.058407927989e+34       4.529914781972e+43       1.509971593991e+43       4.529914781972e+43       1.509971593991e+43       4.529914781972e+43       1.509971593991e+43       3.449631827055e-08       1.361842671342e+44       4.689448857101e+44       4.689448857101e+44       1.563149618992e+44      -1.472228053390e+53       1.431234031784e-06       1.194638012970e+01 
       9.133072029615e+13       7.636492304367e-26       4.276444087736e-09       2.135511727697e+22       1.379901141108e+04       1.510883891678e-10       1.260273651548e+18       2.469188778708e-09       1.914461350357e+44       1.885141809315e+33       1.036488940841e+34       4.405266127557e+43       1.468422042519e+43       4.405266127557e+43       1.468422042519e+43       4.405266127557e+43       1.468422042519e+43       3.449631827055e-08       1.324369150387e+44       4.560410339133e+44       4.560410339133e+44       1.520136779670e+44      -1.421764729398e+53       1.550503534432e-06       1.102742781203e+01 
       9.069584935070e+13       7.743777384751e-26       4.307366907597e-09       2.105925579235e+22       1.379901141108e+04       1.521460078919e-10       1.251513060128e+18       2.486473100159e-09       1.861781544502e+44       1.846101664209e+33       1.015023882642e+34       4.284047402356e+43       1.428015800785e+43       4.284047402356e+43       1.428015800785e+43       4.284047402356e+43       1.428015800785e+43       3.449631827055e-08       1.287926779947e+44       4.434922545276e+44       4.434922545276e+44       1.478307515052e+44      -1.373031128640e+53       1.669773037081e-06       1.023975439688e+01 
       9.006539160943e+13       7.852569713230e-26       4.336470738053e-09       2.076749327927e+22       1.379901141108e+04       1.532110299472e-10       1.242813366562e+18       2.503878411860e-09       1.810551317112e+44       1.807870016863e+33       9.940033527969e+33       4.166164225771e+43       1.388721408590e+43       4.166164225771e+43       1.388721408590e+43       4.166164225771e+43       1.388721408590e+43       3.449631827055e-08       1.252487186085e+44       4.312887771046e+44       4.312887771046e+44       1.437629256976e+44      -1.325967961670e+53       1.789042539729e-06       9.557104103759e+00 
       8.943931639467e+13       7.962890465131e-26       4.367393557914e-09       2.047977294911e+22       1.379901141108e+04       1.542835071568e-10       1.234174147529e+18       2.521405560743e-09       1.760730780460e+44       1.770430123778e+33       9.734181453938e+33       4.051524814257e+43       1.350508271419e+43       4.051524814257e+43       1.350508271419e+43       4.051524814257e+43       1.350508271419e+43       3.449631827055e-08       1.218022775620e+44       4.194211000472e+44       4.194211000472e+44       1.398070333452e+44      -1.280517971298e+53       1.908312042378e-06       8.959785097274e+00 
       8.881759324197e+13       8.074761113275e-26       4.398316377774e-09       2.019603880001e+22       1.379901141108e+04       1.553634917069e-10       1.225594982650e+18       2.539055399668e-09       1.712281144399e+44       1.733765588203e+33       9.532592451683e+33       3.940039909853e+43       1.313346636618e+43       3.940039909853e+43       1.313346636618e+43       3.940039909853e+43       1.313346636618e+43       3.449631827055e-08       1.184506714648e+44       4.078799832116e+44       4.078799832116e+44       1.359599944001e+44      -1.236625862929e+53       2.027581545026e-06       8.432738915081e+00 
       8.820019189868e+13       8.188203432155e-26       4.429239197634e-09       1.991623560599e+22       1.379901141108e+04       1.564510361488e-10       1.217075454469e+18       2.556828787466e-09       1.665164686165e+44       1.697860352953e+33       9.335178235570e+33       3.831622710690e+43       1.277207570230e+43       3.831622710690e+43       1.277207570230e+43       3.831622710690e+43       1.277207570230e+43       3.449631827055e-08       1.151912907649e+44       3.966564407131e+44       3.966564407131e+44       1.322188135674e+44      -1.194238237294e+53       2.146851047675e-06       7.964253419799e+00 
       8.758708232243e+13       8.303239502174e-26       4.460162017494e-09       1.964030890616e+22       1.379901141108e+04       1.575461934019e-10       1.208615148430e+18       2.574726588978e-09       1.619344721000e+44       1.662698693378e+33       9.141852348305e+33       3.726188803409e+43       1.242062934470e+43       3.726188803409e+43       1.242062934470e+43       3.726188803409e+43       1.242062934470e+43       3.449631827055e-08       1.120215977165e+44       3.857417339296e+44       3.857417339296e+44       1.285805779729e+44      -1.153303525479e+53       2.266120550323e-06       7.545082187177e+00 
       8.697823467967e+13       8.419891713939e-26       4.491084837355e-09       1.936820499420e+22       1.379901141108e+04       1.586490167557e-10       1.200213652860e+18       2.592749675101e-09       1.574785573594e+44       1.628265210477e+33       8.952530123074e+33       3.623656097432e+43       1.207885365811e+43       3.623656097432e+43       1.207885365811e+43       3.623656097432e+43       1.207885365811e+43       3.449631827055e-08       1.089391244045e+44       3.751273646975e+44       3.751273646975e+44       1.250424548956e+44      -1.113771926191e+53       2.385390052972e-06       7.167828077818e+00 
       8.637361934426e+13       8.538182772628e-26       4.522007657215e-09       1.909987090782e+22       1.379901141108e+04       1.597595598730e-10       1.191870558947e+18       2.610898922827e-09       1.531452550306e+44       1.594544824152e+33       8.767128646462e+33       3.523944761049e+43       1.174648253683e+43       3.523944761049e+43       1.174648253683e+43       3.523944761049e+43       1.174648253683e+43       3.449631827055e-08       1.059414708230e+44       3.648050686954e+44       3.648050686954e+44       1.216016895617e+44      -1.075595345169e+53       2.504659555620e-06       6.826502931256e+00 
       8.577320689599e+13       8.658135702401e-26       4.554749466479e-09       1.883525441850e+22       1.379901141108e+04       1.608778767921e-10       1.183585460722e+18       2.629175215286e-09       1.489311912151e+44       1.561522766604e+33       8.585566722140e+33       3.426977159264e+43       1.142325719755e+43       3.426977159264e+43       1.142325719755e+43       3.426977159264e+43       1.142325719755e+43       3.449631827055e-08       1.030263030063e+44       3.547668090095e+44       3.547668090095e+44       1.182556029998e+44      -1.038727336668e+53       2.623929058269e-06       6.516207343471e+00 
       8.517696811915e+13       8.779773850884e-26       4.585672286339e-09       1.857430402130e+22       1.379901141108e+04       1.620040219296e-10       1.175357955037e+18       2.647579441793e-09       1.448330848536e+44       1.529184575868e+33       8.407764835304e+33       3.332677793344e+43       1.110892597781e+43       3.332677793344e+43       1.110892597781e+43       3.332677793344e+43       1.110892597781e+43       3.449631827055e-08       1.001913512120e+44       3.450047698758e+44       3.450047698758e+44       1.150015899553e+44      -1.003123046960e+53       2.743198560917e-06       6.232893980711e+00 
       8.458487400115e+13       8.903120893715e-26       4.618414095603e-09       1.831696892488e+22       1.379901141108e+04       1.631380500832e-10       1.167187641546e+18       2.666112497886e-09       1.408477451704e+44       1.497516089476e+33       8.233645117857e+33       3.240973242037e+43       1.080324414012e+43       3.240973242037e+43       1.080324414012e+43       3.240973242037e+43       1.080324414012e+43       3.449631827055e-08       9.743440815377e+43       3.355113505950e+44       3.355113505950e+44       1.118371168618e+44      -9.687391597591e+52       2.862468063566e-06       5.973190064848e+00 
       8.399689573103e+13       9.028200839150e-26       4.649336915463e-09       1.806319904155e+22       1.379901141108e+04       1.642800164337e-10       1.159074122687e+18       2.684775285371e-09       1.369720691902e+44       1.466503438257e+33       8.063131314299e+33       3.151792104408e+43       1.050597368136e+43       3.151792104408e+43       1.050597368136e+43       3.151792104408e+43       1.050597368136e+43       3.449631827055e-08       9.475332728257e+43       3.262791596146e+44       3.262791596146e+44       1.087597198683e+44      -9.355338435247e+52       2.981737566214e-06       5.734262462254e+00 
       8.341300469814e+13       9.155038032739e-26       4.682078724727e-09       1.781294497756e+22       1.379901141108e+04       1.654299765488e-10       1.151017003662e+18       2.703568712368e-09       1.332030393213e+44       1.436133040261e+33       7.896148748339e+33       3.065064944248e+43       1.021688314749e+43       3.065064944248e+43       1.021688314749e+43       3.065064944248e+43       1.021688314749e+43       3.449631827055e-08       9.214602111554e+43       3.173010087736e+44       3.173010087736e+44       1.057670029214e+44      -9.034667005695e+52       3.101007068863e-06       5.513713906014e+00 
